stage,priority,question,why
Opening RFQ,Required,"Can you make this necklace in solid 14k yellow gold or higher, not plated, vermeil, or gold-filled?",Confirms metal floor and prevents accidental plated quotes.
Opening RFQ,Required,"Please quote a 40+5 cm chain and also state the chain type, width/thickness, clasp type, and finished gold weight in grams.",Most price/quality gaps hide in chain gauge and total gold weight.
Stone sourcing,Required,"Please quote the pear lab diamond around 0.90-1.00 ct, about 5.3 x 8.3 mm, D-F color, VS or better, with and without IGI.",Creates the core apples-to-apples comparison.
Stone sourcing,Required,"If certified, please provide the IGI report number before deposit and a photo/video of the laser inscription before final payment.",Prevents relying on generic certificate images.
Stone sourcing,Preferred,"Please send a tweezer video of the pear in daylight and office light, plus measurements, depth/table if available, and growth method.","Pear stones can show bow-tie, windowing, or shape issues that specs alone miss."
Design/CAD,Required,"Please provide CAD/rendering for approval before production, showing bail, prongs, stone measurements, chain connection, and finished pendant dimensions.",Locks the design before gold and stone setting work begins.
Design/CAD,Preferred,"Can you match the reference layout: small round diamond above a pear drop, minimal yellow-gold bail, delicate oval-link/cable chain, and low visual bulk?",Keeps the piece close to the reference photo.
Commercial,Required,"Please itemize base necklace price, IGI certificate fee, CAD fee if any, shipping, payment terms, production time, and any Alibaba Trade Assurance coverage.",Separates true price differences from add-ons.
Commercial,Required,Please state refund/remake policy if the finished piece does not match approved CAD/specs or if the stone differs from the approved certificate.,Creates leverage before the order exists.
Pre-shipment QC,Required,"Before final payment/shipment, please send photos/video of the finished necklace, scale weight, chain length on ruler, 585 stamp, stone close-ups, and clasp.",Final checkpoint before the piece leaves the supplier.
