Category,Check,Proof to request,Gate
Spec,Reference design matches two-stone vertical drop,CAD/render/photo,Required before production
Metal,Solid 14k yellow gold or higher; 585 stamp visible,Macro photo/video,Required before final payment
Metal,Finished gold weight provided in grams,Scale photo or written QC sheet,Required before final payment
Chain,40+5 cm length or chosen length confirmed,Ruler photo,Required before final payment
Chain,Chain type and width/thickness match order,Macro photo + written measurement,Required before final payment
Main stone,"Pear lab diamond 0.90-1.00 ct, D-F, VS+, approved dimensions",Stone video/spec sheet,Required before deposit
Main stone,IGI report number verified if certified option is chosen,IGI report link + inscription photo/video,Required before final payment
Accent stone,"Round 0.15-0.20 ct lab diamond, D-F, VS+ or agreed equivalent",Written specs/photo,Required before production
Setting,"Prongs secure, no crooked pear, no tilted accent, clean bail alignment",360 finished video,Required before shipment
Commercial,Alibaba Trade Assurance/order contract matches spec and add-ons,Order page screenshot/PDF,Required before deposit
Shipping,"Carrier, tracking, declared description/value, and insurance terms known",Shipping quote/invoice,Required before shipment
